"**I'm only 1 person maintaining the raw data, so things can easily be missed (I only have the available data, not serverside changes). I always welcome the help of the community when it comes to the sheet since I made it for you guys. If you find anything I've missed or inaccuracies please DM me.",,,,,,,,,,,
,,Skilled Medic,Now properly applies the bonus to teammates,,,,,RX12 ,Recoil Pitch 3.0 -> 5.0,,
,,,,,,,,,Recoil Pitch First Shot 2.0 -> 5.2,,New Music:
,,,,,,,,,,,Bunker (Dynamic)
,,Penetrating Shot,Damage Falloff Per Penetration: 0.8 -> 0.7,,,,,,,,Battle Trance (Dynamic)
,,,Max Penetrations: +2 -> +1,,,,,Melee,,,Broadway EVAC Theme
,,,,,,,,Baseball Bat,Decreased quick attack swing speed by 20%.,,Biohazard
,,Penetrating Shot Ultimate,Damage Falloff Per Penetration: 0.6 -> 0.5,,,,,,Decreased base damage from 30/35/45 to 20/25/33,,Hospital EVAC Theme
,,,Max Penetrations: +4 -> +1,,,,,,Decreased headshot damage from 45/50/80 to 25/35/50,,Raven Rock EVAC Theme
,,,,,,,,,Decreased stability damage from 65/75/100 to 20/40/100,,Empty 2.0 (Dynamic)
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.25,,
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,Difficulties:
,,,,,,,,,,,
,,,,,,,,Claw Hammer,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,Beginner
,,,,,,,,,,,Objective Based Respawn -> Time Based Respawn
,,,,,,,,Cleaver,Decreased charged swing speed by 5%,,Melee Damage Increase +43%
,,,,,,,,,Increased base quick attack damage from 13 to 15,,Firearm Damage Increase +100%
,,,,,,,,,Increased headshot charged attack damage from 45 to 50,,Firearm Limb Damage Increase +100%
,,,,,,,,,Quick Attack Stability Damage: 0 -> 5,,Firearm Headshot Damage Increase +50%
,,,,,,,,,Strong Attack Stability Damage: 0 -> 10,,Marker Visibility Distance +25%
,,,,,,,,,SecondaryHitDamageMultiplier 0.5 -> 0.7,,World Threat Modifier Removed
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,Prime Zombie Modifier Removed
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0,,
,,,,,,,,,,,Normal
,,,,,,,,Crowbar,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,Character XP Multiplier: 120% -> 125%
,,,,,,,,,,,Objective Based Respawn Added
,,,,,,,,Fire Axe,Quick Attack Stability Damage 0 -> 10,,0-33% Less Ammo in Found Weapons
,,,,,,,,,Strong Attack Stability Damage 0 -> 20,,
,,,,,,,,,SecondaryHitDamageMultiplier 0.5 -> 0.7,,Hard
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,Account XP Multiplier: 120% -> 150%
,,,,,,,,,,,Character XP Multiplier: 160% -> 200%
,,,,,,,,Hatchet,Increased base damage from 17/22/26 to 20/25/34,,Credits Multiplier: 120% -> 150%
,,,,,,,,,Quick Attack Stability Damage 0 -> 5,,Timing Minigame Modifier: Faster -> Normal
,,,,,,,,,Strong Attack Stability Damage 0 -> 10,,Valves: Slowest(10s) -> Fast(5s)
,,,,,,,,,SecondaryHitDamageMultiplier 0.5 -> 0.7,,Codebook: 9 Numbers Long -> 6 Numbers Long
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,20-50% Less Ammo in Found Weapons Added
,,,,,,,,,,,Ammo Picked Up Modifier: -50% -> -20%
,,,,,,,,Hockey Stick,Decreased base quick attack damage 20 to 15,,World Threat Modifier Removed
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,Reduced Loot Modifier Removed
,,,,,,,,,,,
,,,,,,,,Kitchen Knife,Strong Attack Damage 17 -> 18,,Nightmare
,,,,,,,,,Quick Attack Stability Damage 0 -> 5,,Account XP Multiplier: 120% -> 200%
,,,,,,,,,Strong Attack Stability Damage 0 -> 10,,Character XP Multiplier: 200% -> 300%
,,,,,,,,,SecondaryHitDamageMultiplier 0.5 -> 0.7,,Credits Multiplier: 130% -> 200%
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,Timing Minigame Modifier: Fastest -> Normal
,,,,,,,,,SecondaryHitStabilityDamageMultiplier 0.5 -> 0,,Valves: Slowest(12s) -> Fast(5s)
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0,,Codebook: 12 Numbers Long -> 6 Numbers Long
,,,,,,,,,,,World Threat Modifier Removed
,,,,,,,,Machete,Increased base damage from 17/22/26 to 20/25/34,,Flashlight Dies Modifier Removed
,,,,,,,,,Quick Attack Stability Damage 0 -> 5,,Powerplant Fog Modifier Removed
,,,,,,,,,Strong Attack Stability Damage 0 -> 10,,Reduced Loot Modifier Removed
,,,,,,,,,SecondaryHitDamageMultiplier 0.5 -> 0.7,,Zombie Movespeed Modifier Removed
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,Ammo Picked Up Modifier: -65% -> -40%
,,,,,,,,,,,40-75% Less Ammo in Found Weapons Added
,,,,,,,,Mallet,Decreased base damage from 13/15/20 to 10/13/15,,
,,,,,,,,,Decreased headshot damage from 25/30/35 to 20/25/30,,Economy
,,,,,,,,,Decreased stability damage from 25/40/50 to 25/35/45,,Reroll Costs:
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,Level 1: 300 -> 100
,,,,,,,,,,,Level 5: 400 -> 150
,,,,,,,,Large Pipe,Strong Attack Damage 20 -> 25,,Level 10: 500 -> 200
,,,,,,,,,Charged Attack Damage 30 -> 33,,Level 15: 600 -> 250
,,,,,,,,,Strong Attack Headshot Damage: 30 -> 35,,"Level 20: 1,200 -> 300"
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,"Level 30: 2,400 -> 350"
,,,,,,,,,,,"Level 40: 3,000 -> 400"
,,,,,,,,Small Pipe,Quick Attack Damage 10 -> 13,,"Level 50: 3,500 -> 450"
,,,,,,,,,Strong Attack Damage 10 -> 15,,"Level 75: 4,000 -> 500"
,,,,,,,,,Charged Attack Damage 15 -> 20,,"Level 100: 5,000 -> 500"
,,,,,,,,,Increased headshot damage from 20/25/30 to 20/30/35,,
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,Professions
,,,,,,,,,,,All profressions now have two different starting perks.
,,,,,,,,Rebar,Decreased base quick damage from 20 to 15,,Baseball Rookie: Teddy Bear -> Rush
,,,,,,,,,Increased headshot strong damage from 30 to 35,,Bear Hunter: Steel Chamber added.
,,,,,,,,,TertiaryHitStabilityDamageMultiplier 0.3 -> 0.5,,Bird Hunter: Shotgun Reloading added.
,,,,,,,,,,,Coast Guard Veteran: Mohawk added.
,,,,,,,,Shovel,Increased base damage from 13/18/25 to 20/25/34,,Deer Hunter: Averaging -> Rifle Reloading
,,,,,,,,,Increased headshot damage from 34/38/50 to 35/45/50,,Designated Marksman: Pistol Reloading added.
,,,,,,,,,Quick Attack Stability Damage 0 -> 5,,Engineer: Builder added.
,,,,,,,,,Strong Attack Stability Damage 0 -> 10,,Martial Arts Master: Guts -> Adrenaline Rush
,,,,,,,,,SecondaryHitDamageMultiplier 0.5 -> 0.7,,MMA Fighter: Adrenaline Rush added.
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,Prop Master: Thick Skin added.
,,,,,,,,,,,Police Sniper: Headblown added.
,,,,,,,,Sledgehammer,Charged Attack Speed 0.85 -> 1.0,,Spinal Surgeon: Skilled Medic added.
,,,,,,,,,QuickAttackStaminaCostPerHit(Cleave) 5 -> 3,,Sous Chef: Mule added.
,,,,,,,,,StrongAttackStaminaCostPerHit(Cleave) 5 -> 3,,Swim Captain: Athlete added.
,,,,,,,,,HeavyAttackStaminaCostPerHit(Cleave) 5 -> 3,,
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,
,,,,,,,,,,,
,,,,,,,,Tire Iron,Charged Attack Damage 35 -> 20,,
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,
,,,,,,,,,,,
,,,,,,,,Tree Trimmer,Increased base damage from 20/25/35 to 25/30/35,,
,,,,,,,,,Strong Attack Headshot Damage 35 -> 50,,
,,,,,,,,,Charged Attack Headshot Damage 45 -> 65,,
,,,,,,,,,Quick Attack Stability Damage 0 -> 5,,
,,,,,,,,,Strong Attack Stability Damage 0 -> 10,,
,,,,,,,,,SecondaryHitDamageMultiplier 0.5 -> 0.7,,
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,
,,,,,,,,,,,
,,,,,,,,Large Wrench,Strong Attack Damage 25 -> 35,,
,,,,,,,,,Strong Attack Headshot Damage 40 -> 50,,
,,,,,,,,,Quick Attack Swing Speed 0.8 -> 0.9,,
,,,,,,,,,Charged Attack Swing Speed 0.85 -> 0.9,,
,,,,,,,,,TertiaryHitDamageMultiplier 0.3 -> 0.5,,
,,,,,,,,,,,
,,,,,,,,Small Wrench,Strong Attack Damage 10 -> 13,,
,,,,,,,,,Strong Attack Stability Damage 45 -> 35,,
,,,,,,,,,Charged Attack Swing Speed 1.25 -> 1.1,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"0.9.1.0
Revelation
Apr 7 2026",,,,,Medkit,Weight: 0.50kg -> 1.0kg,,Fire Axe,Charged Attack Damage: 30 -> 65,,Helmet HP changes in notes look to be an error.
,,,,,,,,,,,Headshot Values are now used when hitting helmets.
,,,,,Ammo Crate,Weight: 1.0kg -> 2.0kg,,Kitchen Knife,Weight: 1.0kg -> 0.50kg,,Gruber 922 retains its 1 penetration value.
,,,,,,Now Contains .22 LR,,,Stack Size: 1 -> 5,,Vulture still doesn't work on .45 aaaaaaaaaaaaaaaa
,,,,,,,,,,,Player:
,,,,,Medical Crate,Weight: 1.0kg -> 2.0kg,,Mallet,Weight: 1.0kg -> 0.50kg,,Stamina Regen Delay: 0.25 -> 1.0
,,,,,,,,,,,
,,,,,Lantern,Weight: 0.50kg -> 0.75kg,,Small Wrench,Weight: 1.0kg -> 0.50kg,,Difficulties:
,,,,,,,,,Stack Size: 1 -> 5,,Casual:
,,,,,Worklight,Weight: 0.50kg -> 0.75kg,,,,,Damage Taken: -25% -> -35%
,,,,,,,,Gruber 922,Headshot Damage: 50 -> 35,,Credits: 100% -> 80%
,,,,,Radio,Target Limit: ∞ -> 10,,,Damage: 25 -> 5,,No Primes 
,,,,,,,,,Stability Damage: 50 -> 10,,No Armored Zeds
,,,,,Ammo - 9mm,Weight Per Round: 0.010kg -> 0.015kg,,,Limb Damage: 30 -> 8,,
,,,,,,,,,Range: 150m -> 50m,,Normal:
,,,,,Ammo - .45 ACP,Minimum Weight: 0.35kg -> 0.45kg,,,,,Account XP: 110% -> 100%
,,,,,,Weight Per Round: 0.010kg -> 0.025kg,,DT11,Damage: 13 -> 17,,Character XP: 110% -> 120%
,,,,,,,,,Limb Damage: 80 -> 15,,Credits: 110% -> 100%
,,,,,Ammo - 6.8x51mm,Minimum Weight: 0.35kg -> 0.50kg,,,Stability Damage: 12 -> 15,,"""Some"" Primes (0.33)"
,,,,,,Weight Per Round: 0.010kg -> 0.040kg,,,Pellets: 8 -> 10,,"""Some"" Armored Zeds (0.33)"
,,,,,,,,,Damage Falloff Per Penetration: 0.1 -> 0.8,,
,,,,,Ammo - .308 WIN,Minimum Weight: 0.35kg -> 0.50kg,,,Weight: 2.0kg -> 2.25kg,,Hard:
,,,,,,Weight Per Round: 0.010kg -> 0.040kg,,,,,Character XP: 120% -> 160%
,,,,,,,,Gruber MKVII,Headshot Damage: 50 -> 35,,"""More"" Primes (0.66)"
,,,,,Ammo - .357 MAG,Minimum Weight: 0.35kg -> 0.45kg,,,Damage: 25 -> 5,,"""More"" Armored Zeds (0.66)"
,,,,,,Weight Per Round: 0.010kg -> 0.025kg,,,Limb Damage: 30 -> 8,,
,,,,,,,,,Stability Damage: 40 -> 10,,Nightmare:
,,,,,Ammo - 5.56,Minimum Weight: 0.35kg -> 0.50kg,,,Range: 50m -> 45m,,Account XP: 130% -> 120%
,,,,,,Weight Per Round: 0.010kg -> 0.025kg,,,,,Character XP: 130% -> 200%
,,,,,,,,Gruber Ranch,Damage: 35 -> 20,,"""Plenty"" Primes (1.0)"
,,,,,Ammo - 12ga,Minimum Weight: 0.35kg -> 0.50kg,,,Headshot Damage: 100 -> 130,,"""Plenty"" Armored Zeds (1.0)"
,,,,,,Weight Per Round: 0.010kg -> 0.040kg,,,Limb Damage: 30 -> 15,,
,,,,,,,,,Stability Damage: 40 -> 25,,Map Supply Caps:
,,,,,Attachments:,,,,Penetrations: 1 -> 2,,Powerplant: 720
,,,,,Suppressor:,Spread decreased by 10%,,,Range: 150m -> 100m,,Pottsville: 520
,,,,,,Initial ADS Spread decreased by 10%,,,Damage Falloff Per Penetration: 0.15 -> 0.5,,Lewiston: 440
,,,,,,Range decreased by 20%,,,Stability Damage Falloff Per Penetration: 0.10 -> 0.5,,Broadway: 600
,,,,,,Recoil decreased by ~20%,,,Weight: 2.0kg -> 2.25kg,,Hospital: 560
,,,,,,,,,,,
,,,,,Weapon Flashlight:,Spread decreased by ~5%,,Hunter 85,Damage: 75 -> 35,,Character & Account level XP curves changed.
,,,,,,,,,Penetrations: 2 -> 3,,"Responder Level 1-100 = 445,810 -> 392,500
(~11.96% Decrease)
With the new curve Responders are much faster to level up to 50, slowing down from there.
Account Level 1-100 = 343,400 -> 644,300
(~87.62% Increase)"
,,,,,Holo Sight:,Aiming Spread decreased by 50%,,,Range: 150m -> 100m,,
,,,,,,Spread Decay Rate increased by ~50%,,,Damage Falloff Per Penetration: 0.15 -> 0.3,,
,,,,,,Initial ADS Spread decreased by 50%,,,Stability Damage Falloff Per Penetration: 0.10 -> 0.3,,
,,,,,,Per Shot Spread Increase decreased by 20%,,,Weight: 2.0kg -> 2.25kg,,
,,,,,,Moving Spread Multiplier decreased by 30%,,,,,
,,,,,,Recoil Strength decreased by ~25%,,M7A1,Damage: 50 -> 35,,
,,,,,,,,,Headshot Damage 100 -> 150,,Cost to Upgrade Perk to Expert: 5000 -> 1000
,,,,,ACOG:,Aiming Spread decreased by 50%,,,Penetrations: 1 -> 3,,Perk Reroll costs change depending on the slot lv
,,,,,,Spread Decay Rate increased by ~25%,,,Limb Damage: 30 -> 20,,Nightmare Clear requirements removed from shop
,,,,,,Initial ADS Spread decreased by 75%,,,Stability Damage: 40 -> 25,,Shop prices reduced across the board
,,,,,,Per Shot Spread Increase decreased by 40%,,,Range: 150m -> 100m,,
,,,,,,Moving Spread Multiplier decreased by 10%,,,Weight: 3.0kg -> 3.25kg,,
,,,,,,Recoil Strength decreased by ~25%,,,,,
,,,,,,,,M9A1,Damage: 25 -> 10,,Stimuli:
,,,,,Hunter Sight:,Range decreased by 20% (Bug/Unintended?),,,Limb Damage: 50 -> 20,,Gunshot - Suppressed:
,,,,,,Initial ADS Spread decreased by 90%,,,Stability Damage: 40 -> 20,,Duration: 5.0 -> 1.0
,,,,,,Aiming Spread decreased by 50%,,,Range: 50m -> 45m,,Radius: 3200 -> 1000
,,,,,,Recoil Strength decreased by ~25%,,,,,Requires Line of Sight
,,,,,,Spread Decay Rate reduced by ~20%,,M14,Damage: 75 -> 35,,Gunshot - Pistol:
,,,,,,,,,Limb Damage: 75 -> 50,,Duration: 5.0 -> 2.0
,,,,,██████,Spread decreased by ~25%,,,Stability Damage: 60 -> 50,,RadiusWhenOccluded: 1500
,,,,,,Recoil decreased by ~25%+,,,Penetrations: 2 -> 3,,Requires Line of Sight
,,,,,,,,,Range: 150m -> 100m,,Gunshot - Rifle/Shotgun/Assault Rifle:
,,,,,,,,,Damage Falloff Per Penetration: 0.15 -> 0.3,,Duration: 5.0 -> 2.0
,,,,,,,,,Stability Damage Falloff Per Penetration: 0.10 -> 0.3,,RadiusWhenOccluded: 1500
,,,,,,,,,,,Requires Line of Sight
,,,,,,,,M590A1,Damage: 13 -> 17,,Explosion:
,,,,,,,,,Headshot Damage: 25 -> 20,,Radius: 7500 -> 4500
,,,,,,,,,Limb Damage: 80 -> 15,,Pipebomb:
,,,,,,,,,Stability Damage: 12 -> 10,,Radius: 10000 -> 2000
,,,,,,,,,Pellets: 8 -> 10,,Requires Line of Sight
,,,,,,,,,Damage Falloff Per Penetration: 0.1 -> 0.8,,Alarm:
,,,,,,,,,,,Radius: 15000 -> 4500
,,,,,,,,M1911,Damage: 35 -> 15,,Player:
,,,,,,,,,Limb Damage: 70 -> 20,,Footstep - Crouch
,,,,,,,,,Stability Damage: 60 -> 25,,Radius: 300 -> 100
,,,,,,,,,Range: 50m -> 40m,,Requires Line of Sight
,,,,,,,,,,,Footstep - Walk
,,,,,,,,MC15,Damage: 35 -> 20,,Radius: 1000 -> 400
,,,,,,,,,Headshot Damage: 100 -> 130,,Requires Line of Sight
,,,,,,,,,Limb Damage: 30 -> 15,,Footstep - Sprint
,,,,,,,,,Stability Damage: 40 -> 25,,Radius: 2000 -> 1000
,,,,,,,,,Penetrations: 1 -> 2,,Requires Line of Sight
,,,,,,,,,Range: 150m -> 100m,,Footstep - Jump
,,,,,,,,,Damage Falloff Per Penetration: 0.15 -> 0.3,,Removed
,,,,,,,,,Stability Damage Falloff Per Penetration: 0.10 -> 0.3,,
,,,,,,,,,Weight: 3.0kg -> 2.5kg,,"Crouching, Aiming, and Movement all have decently large effects on spread; Crouching and Aiming of course being positive effects and Movement being negative."
,,,,,,,,,,,
,,,,,,,,Model 13,Damage: 35 -> 20,,
,,,,,,,,,Limb Damage: 50 -> 20,,Rochester will be moved to the 'Rifle' category
,,,,,,,,,Stability Damage: 60 -> 20,,RMB to underhand throw grenades.
,,,,,,,,,Penetrations: 0 -> 2,,
,,,,,,,,,Damage Falloff Per Penetration: 0 -> 0.5,,
,,,,,,,,,Stability Damage Falloff Per Penetration: 0 -> 0.5,,
,,,,,,,,,,,
,,,,,,,,MP5,Damage: 25 -> 10,,MP5 has bugged values of 15 and 10 for Damage and Stability Damage falloff per pen(Norm is 0.15/0.10) despite no penetration. 
,,,,,,,,,Headshot Damage: 100 -> 70,,
,,,,,,,,,Limb Damage: 30 -> 15,,
,,,,,,,,,Stability Damage: 30 -> 20,,
,,,,,,,,,Range: 150m -> 50m,,
,,,,,,,,,,,
,,,,,,,,RX12,Damage: 15 -> 17,,
,,,,,,,,,Headshot Damage: 25 -> 20,,
,,,,,,,,,Limb Damage: 80 -> 15,,
,,,,,,,,,Stability Damage: 12 -> 10,,
,,,,,,,,,Pellets: 8 -> 10,,
,,,,,,,,,Damage Falloff Per Penetration: 0.1 -> 0.8,,
,,,,,,,,,Weight: 3.0kg -> 2.75kg,,
,,,,,,,,,,,
,,,,,,,,Rochester 1873,Damage: 30 -> 20,,
,,,,,,,,,Limb Damage: 50 -> 20,,
,,,,,,,,,Stability Damage: 80 -> 20,,
,,,,,,,,,Range: 150m -> 100m,,
,,,,,,,,,Damage Falloff Per Penetration: 0.15 -> 0,,
,,,,,,,,,Stability Damage Falloff Per Penetration: 0.1 -> 0,,
,,,,,,,,,Weight: 2.0kg -> 2.25kg,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"0.8.0.1
Genesis Hotfix
Feb. 24 2026",,,,,,,,Baseball Bat,Damage: 20 -> 30,,Zombies:
,,,,,,,,,Headshot Damage: 34 -> 45,,Leg Limb HP: 60 -> 70
,,,,,,,,,Stability Damage: 40 -> 65,,Crawler:
,,,,,,,,,Strong Attack Damage: 30 -> 35,,Movespeed: 65 -> 95
,,,,,,,,,Strong Attack Stability Damage: 60 -> 75,,MaxYawRotationSpeed: 45 -> 90
,,,,,,,,,Charged Attack Damage: 35 -> 45,,BasicAttackActivationRange: 120 -> 135
,,,,,,,,,Thrown Damage: 80 -> 40,,BasicAttackDamageRange: 150 -> 165
,,,,,,,,,Charged Attack Speed: 1x -> 1.2x,,PostInterruptCooldown: 0.5s -> 0.2s
,,,,,,,,,Attack & Combo Speed: 1x -> 1.2x,,
,,,,,,,,,,,Weapons:
,,,,,,,,Claw Hammer,Damage: 20 -> 15,,Machete seems to be missing some changes.
,,,,,,,,,Headshot Damage: 40 -> 30,,"Fire Axe Charged Damage = 30, not 65."
,,,,,,,,,Stability Damage: 20 -> 40,,← These values are what's currently live.
,,,,,,,,,Strong Attack Damage: 25 -> 20,,
,,,,,,,,,Strong Attack Headshot Damage: 50 -> 35,,Slamfire bug introduced in 0.8 is still applying to the
,,,,,,,,,Strong Attack Stability Damage: 40 -> 55,,M590 & 1873
,,,,,,,,,Charged Attack Damage: 40 -> 25,,
,,,,,,,,,Charged Attack Headshot Damage: 80 -> 45 ,,Player:
,,,,,,,,,Thrown Damage: 60 -> 25,,Stamina Starved Regen Delay: 1.0 -> 1.75
,,,,,,,,,Charged Attack Speed: 1x -> 1.2x,,
,,,,,,,,,Attack & Combo Speed: 1x -> 1.2x,,Difficulties:
,,,,,,,,,Range: 180 -> 170,,Casual & Classic:
,,,,,,,,,,,25% Increased Melee Damage Modifier removed.
,,,,,,,,Cleaver,Damage: 20 -> 13,,50% Increased Limb Damage Modifier removed.
,,,,,,,,,Headshot Damage: 20 -> 28,,
,,,,,,,,,Stability Damage: 20 -> 0,,Hard & Nightmare:
,,,,,,,,,Strong Attack Damage: 25 -> 17,,25% Decreased Melee Damage Modifier removed.
,,,,,,,,,Strong Attack Headshot Damage: 30 -> 38,,
,,,,,,,,,Strong Attack Stability Damage: 30 -> 0,,
,,,,,,,,,Charged Attack Damage: 35 -> 25,,
,,,,,,,,,Charged Attack Headshot Damage: 40 -> 45,,
,,,,,,,,,Charged Attack Stability Damage: 50 -> 20,,
,,,,,,,,,Charged Attack Limb Damage: 30 -> 40,,
,,,,,,,,,Thrown Stability Damage: 50 -> 20,,
,,,,,,,,,Charged Attack Speed: 1x -> 1.1x,,
,,,,,,,,,Range: 180 -> 165,,
,,,,,,,,,,,
,,,,,,,,Crowbar,Damage: 20 -> 15,,
,,,,,,,,,Headshot Damage: 40 -> 30,,
,,,,,,,,,Stability Damage: 20 -> 40,,
,,,,,,,,,Strong Attack Damage: 25 -> 20,,
,,,,,,,,,Strong Attack Headshot Damage: 50 -> 35,,
,,,,,,,,,Strong Attack Stability Damage: 40 -> 60,,
,,,,,,,,,Charged Attack Damage: 40 -> 25,,
,,,,,,,,,Charged Attack Headshot Damage: 80 -> 45,,
,,,,,,,,,Thrown Damage: 60 -> 25,,
,,,,,,,,,Thrown Stability Damage: 50 -> 60,,
,,,,,,,,,Attack & Combo Speed: 1x -> 1.1x,,
,,,,,,,,,Range: 190 -> 185,,
,,,,,,,,,,,
,,,,,,,,Fire Axe,Damage: 30 -> 35,,
,,,,,,,,,Headshot Damage: 35 -> 60,,
,,,,,,,,,Stability Damage: 30 -> 0,,
,,,,,,,,,Limb Damage: 30 -> 60,,
,,,,,,,,,Strong Attack Damage: 35 -> 50,,
,,,,,,,,,Strong Attack Headshot Damage: 40 -> 80,,
,,,,,,,,,Strong Attack Stability Damage: 30 -> 0,,
,,,,,,,,,Strong Attack Limb Damage: 60 -> 80,,
,,,,,,,,,Charged Attack Damage: 45 -> 30,,
,,,,,,,,,Charged Attack Headshot Damage: 75 -> 100,,
